upit,ocekivana_namera,ocekivana_biljka,ocekivani_uslovi
"Koliko košta lavanda?",cena,lavanda,""
"Koja je cena lavande?",cena,lavanda,""
"Pošto je lavanda?",cena,lavanda,""
"Koliko treba da platim lavandu?",cena,lavanda,""
"Imate li cenu za lavandu?",cena,lavanda,""
"Koliko košta muškatla?",cena,muskatla,""
"Pošto je muškatla?",cena,muskatla,""
"Koja je cena muškatle?",cena,muskatla,""
"Koliko košta petunija?",cena,petunija,""
"Pošto je petunija?",cena,petunija,""
"Koliko košta begonija?",cena,begonija,""
"Pošto je begonija?",cena,begonija,""
"Koliko košta tuja?",cena,tuja smaragd,""
"Pošto je tuja smaragd?",cena,tuja smaragd,""
"Koja je cena ruzmarina?",cena,ruzmarin,""
"Koliko košta ruzmarin?",cena,ruzmarin,""
"Koliko košta hortenzija?",cena,hortenzija,""
"Pošto je hortenzija?",cena,hortenzija,""
"Koliko košta ruža?",cena,ruža,""
"Pošto su ruže?",cena,ruža,""

"Imate li lavandu?",dostupnost,lavanda,""
"Da li je lavanda dostupna?",dostupnost,lavanda,""
"Može li da se kupi lavanda?",dostupnost,lavanda,""
"Imate li muškatle?",dostupnost,muskatla,""
"Da li imate muškatlu?",dostupnost,muskatla,""
"Ima li petunija?",dostupnost,petunija,""
"Da li su petunije dostupne?",dostupnost,petunija,""
"Imate li begonije?",dostupnost,begonija,""
"Da li je begonija na stanju?",dostupnost,begonija,""
"Imate li tuje?",dostupnost,tuja smaragd,""
"Da li je tuja dostupna?",dostupnost,tuja smaragd,""
"Prodajete li ruzmarin?",dostupnost,ruzmarin,""
"Imate li ruzmarin?",dostupnost,ruzmarin,""
"Da li mogu da kupim hortenziju?",dostupnost,hortenzija,""
"Imate li ruže?",dostupnost,ruža,""

"Treba mi nešto za balkon na suncu",preporuka,"","balkon,sunce"
"Šta preporučujete za sunčanu terasu?",preporuka,"","terasa,sunce"
"Koje biljke vole sunce?",preporuka,"","sunce"
"Treba mi biljka za hlad",preporuka,"","senka"
"Nemam mnogo sunca",preporuka,"","senka"
"Koja biljka podnosi senku?",preporuka,"","senka"
"Želim biljku koja ne traži mnogo vode",preporuka,"","malo vode"
"Koje biljke podnose sušu?",preporuka,"","malo vode"
"Šta preporučujete za početnika?",preporuka,"","laka nega"
"Treba mi biljka za živu ogradu",preporuka,"","živa ograda"
"Koja zimzelena biljka je najbolja za ogradu?",preporuka,"","živa ograda"
"Treba mi nešto za saksiju",preporuka,"","saksija"
"Želim mirisnu biljku za dvorište",preporuka,"","mirisna"
"Koje biljke cvetaju celo leto?",preporuka,"","dugo cvetanje"
"Treba mi ukrasna biljka za ulaz",preporuka,"","ukrasna"

"Gde se nalazite?",lokacija,"",""
"Koja je vaša adresa?",lokacija,"",""
"Gde je rasadnik?",lokacija,"",""
"Kako da dođem do vas?",lokacija,"",""
"U kom mestu se nalazite?",lokacija,"",""

"Da li dostavljate za Vranje?",dostava,"","Vranje"
"Možete li da dostavite u Vranje?",dostava,"","Vranje"
"Da li vozite za Bujanovac?",dostava,"","Bujanovac"
"Da li dostavljate u Preševo?",dostava,"","Preševo"
"Da li šaljete biljke za Surdulicu?",dostava,"","Surdulica"

"Treba mi biljka za sunce i malo vode",preporuka,"","sunce,malo vode"
"Koja biljka voli sunce a ne traži često zalivanje?",preporuka,"","sunce,malo vode"
"Šta preporučujete za veoma sunčano mesto?",preporuka,"","sunce"
"Treba mi nešto za balkon na jakom suncu",preporuka,"","balkon,sunce"
"Koja biljka podnosi letnje vrućine?",preporuka,"","sunce,malo vode"
"Nemam vremena za zalivanje, a imam puno sunca",preporuka,"","sunce,malo vode"
"Treba mi biljka za hlad i saksiju",preporuka,"","senka,saksija"
"Koja biljka uspeva u polusenci?",preporuka,"","polusenka"
"Šta preporučujete za terasu u hladu?",preporuka,"","terasa,senka"
"Nemam direktno sunce na balkonu",preporuka,"","balkon,senka"
"Koja biljka dobro raste pored kuće gde nema mnogo sunca?",preporuka,"","senka"
"Treba mi nešto za severnu stranu kuće",preporuka,"","senka"
"Koja biljka je dobra za živu ogradu?",preporuka,"","živa ograda"
"Treba mi zimzelena biljka za ogradu",preporuka,"","živa ograda,zimzelena"
"Šta preporučujete za gustu živicu?",preporuka,"","živa ograda"
"Koja biljka brzo raste za ogradu?",preporuka,"","živa ograda"
"Treba mi ukrasna biljka za dvorište",preporuka,"","ukrasna"
"Šta da posadim ispred kuće?",preporuka,"","dvorište"
"Koje biljke lepo mirišu?",preporuka,"","mirisna"
"Treba mi aromatična biljka",preporuka,"","zacinska"
"Koja biljka privlači pčele?",preporuka,"","medonosna"
"Šta preporučujete za kamenjar?",preporuka,"","kamenjar"
"Treba mi biljka koja cveta celo leto",preporuka,"","dugo cvetanje"
"Koja biljka ima mnogo cvetova?",preporuka,"","cvetanje"
"Šta preporučujete za viseće saksije?",preporuka,"","saksija"
"Koje biljke su dobre za žardinjere?",preporuka,"","saksija"
"Treba mi biljka za ulaz u kuću",preporuka,"","ukrasna"
"Šta preporučujete za vikendicu?",preporuka,"","malo vode"
"Koja biljka je najlakša za održavanje?",preporuka,"","laka nega"
"Treba mi biljka koja brzo raste",preporuka,"","brz rast"
"Šta preporučujete za malu baštu?",preporuka,"","mala bašta"
"Koje biljke su dobre za početnike?",preporuka,"","laka nega"
"Treba mi nešto zeleno tokom cele godine",preporuka,"","zimzelena"
"Koja biljka ostaje zelena zimi?",preporuka,"","zimzelena"
"Šta preporučujete za osunčano dvorište?",preporuka,"","sunce"
"Koja biljka podnosi vetar?",preporuka,"","otporna"
"Treba mi biljka za veliku saksiju",preporuka,"","saksija"
"Koja biljka ne zahteva puno pažnje?",preporuka,"","laka nega"
"Šta preporučujete za uređivanje dvorišta?",preporuka,"","dvorište"
"Koja biljka lepo izgleda tokom cele godine?",preporuka,"","zimzelena"

"Da li je lavanda dobra za pčele?",informacije,lavanda,""
"Koliko raste lavanda?",informacije,lavanda,""
"Da li lavanda voli sunce?",informacije,lavanda,""
"Koliko često se zaliva lavanda?",informacije,lavanda,""
"Da li muškatla može u saksiju?",informacije,muskatla,""
"Koliko traje cvetanje muškatle?",informacije,muskatla,""
"Da li petunija cveta celo leto?",informacije,petunija,""
"Koliko vode traži petunija?",informacije,petunija,""
"Da li begonija podnosi senku?",informacije,begonija,""
"Koliko naraste begonija?",informacije,begonija,""
"Koliko brzo raste tuja?",informacije,tuja smaragd,""
"Kolika je visina odrasle tuje?",informacije,tuja smaragd,""
"Da li ruzmarin može da prezimi napolju?",informacije,ruzmarin,""
"Koliko raste ruzmarin?",informacije,ruzmarin,""
"Da li hortenzija voli sunce?",informacije,hortenzija,""
"Koliko se zaliva hortenzija?",informacije,hortenzija,""
"Da li ruža traži mnogo održavanja?",informacije,ruža,""
"Kada cvetaju ruže?",informacije,ruža,""
"Koliko brzo raste leylandii?",informacije,leylandii,""
"Da li šimšir može da se oblikuje?",informacije,šimšir,""

"Koje biljke cvetaju u maju?",preporuka,"","maj"
"Koje biljke cvetaju tokom leta?",preporuka,"","leto"
"Šta preporučujete za dvorište?",preporuka,"","dvorište"
"Koje biljke su najprodavanije?",opste,"",""
"Koje biljke su najotpornije?",preporuka,"","otporna"
"Šta je najbolje za balkon?",preporuka,"","balkon"
"Koje biljke podnose sušu?",preporuka,"","malo vode"
"Koje biljke rastu brzo?",preporuka,"","brz rast"
"Koje biljke su zimzelene?",preporuka,"","zimzelena"
"Šta preporučujete za ogradu?",preporuka,"","živa ograda"
"Koje biljke imaju mirisne cvetove?",preporuka,"","mirisna"
"Koje biljke mogu u saksiju?",preporuka,"","saksija"
"Koje biljke uspevaju u hladu?",preporuka,"","senka"
"Koje biljke vole sunce?",preporuka,"","sunce"
"Šta preporučujete početnicima?",preporuka,"","laka nega"
"Koje biljke cvetaju najduže?",preporuka,"","dugo cvetanje"
"Koje biljke su dobre za terasu?",preporuka,"","terasa"
"Šta da zasadim ispred kuće?",preporuka,"","dvorište"
"Koje biljke su dobre za dekoraciju?",preporuka,"","ukrasna"
"Šta preporučujete za malo dvorište?",preporuka,"","mala bašta"

"Koliko para je lavanda?",cena,lavanda,""
"Koliko novca treba za lavandu?",cena,lavanda,""
"Košta li mnogo lavanda?",cena,lavanda,""
"Recite mi cenu lavande",cena,lavanda,""
"Kolika je cena lavande?",cena,lavanda,""
"Po kojoj ceni prodajete lavandu?",cena,lavanda,""
"Koliko naplaćujete lavandu?",cena,lavanda,""
"Za koliko se prodaje lavanda?",cena,lavanda,""
"Koliko košta jedna lavanda?",cena,lavanda,""
"Možete li mi reći cenu lavande?",cena,lavanda,""
"Koliko para je muškatla?",cena,muskatla,""
"Kolika je cena muškatle?",cena,muskatla,""
"Pošto su muškatle?",cena,muskatla,""
"Košta li muškatla puno?",cena,muskatla,""
"Koliko košta jedna muškatla?",cena,muskatla,""
"Koliko para je tuja?",cena,tuja smaragd,""
"Kolika je cena tuje?",cena,tuja smaragd,""
"Pošto su tuje?",cena,tuja smaragd,""
"Košta li tuja mnogo?",cena,tuja smaragd,""
"Za koliko prodajete tuju?",cena,tuja smaragd,""
