upit,ocekivana_namera,llm_namera,ocekivana_biljka,llm_biljka,ocekivani_uslovi,llm_uslovi,ocekivana_lokacija,llm_lokacija
Ima li petunija?,dostupnost,opste,petunija,petunija,,,,
Treba mi nešto za balkon na suncu,preporuka,preporuka,,,"balkon,sunce","balkon,sunce,terasa",,
Šta preporučujete za sunčanu terasu?,preporuka,preporuka,,,"sunce,terasa",sunce,,
Koje biljke vole sunce?,preporuka,informacije,,,sunce,,,
Treba mi biljka za hlad,preporuka,"informacije,preporuka",,,senka,,,
Nemam mnogo sunca,preporuka,opste,,,senka,,,
Koja biljka podnosi senku?,preporuka,"informacije,preporuka",,,senka,,,
Želim biljku koja ne traži mnogo vode,preporuka,preporuka,,,malo vode,"malo vode,srednje vode",,
Koje biljke podnose sušu?,preporuka,informacije,,,malo vode,,,
Šta preporučujete za početnika?,preporuka,preporuka,,,laka nega,,,
Koja zimzelena biljka je najbolja za ogradu?,preporuka,preporuka,,,živa ograda,zimzelena,,
Treba mi nešto za saksiju,preporuka,"informacije,preporuka",,,saksija,,,
Želim mirisnu biljku za dvorište,preporuka,"informacije,preporuka",,,mirisna,,,
Koje biljke cvetaju celo leto?,preporuka,dostava,,,dugo cvetanje,,,
Gde je rasadnik?,lokacija,opste,,,,,,
Da li dostavljate za Vranje?,dostava,dostava,,,vranje,,,Vranje
Možete li da dostavite u Vranje?,dostava,dostava,,,vranje,,,Vranje
Da li vozite za Bujanovac?,dostava,informacije,,,bujanovac,,,Bujanovac
Da li dostavljate u Preševo?,dostava,dostava,,,preševo,,,Preševo
Da li šaljete biljke za Surdulicu?,dostava,dostava,,,surdulica,,,Surdulica
Treba mi biljka za sunce i malo vode,preporuka,"informacije,preporuka",,,"malo vode,sunce",,,
Koja biljka voli sunce a ne traži često zalivanje?,preporuka,"informacije,preporuka",,,"malo vode,sunce",,,
Treba mi nešto za balkon na jakom suncu,preporuka,preporuka,,,"balkon,sunce","balkon,sunce,terasa",,
Koja biljka podnosi letnje vrućine?,preporuka,preporuka,,,"malo vode,sunce",leto,,
"Nemam vremena za zalivanje, a imam puno sunca",preporuka,preporuka,,,"malo vode,sunce","puno vode,sunce",,
Treba mi biljka za hlad i saksiju,preporuka,"informacije,preporuka",,,"saksija,senka",,,
Koja biljka uspeva u polusenci?,preporuka,"dostava,preporuka",,,polusenka,,,
Šta preporučujete za terasu u hladu?,preporuka,preporuka,,,"senka,terasa","senka,zimzelena",,
Nemam direktno sunce na balkonu,preporuka,opste,,,"balkon,senka",,,
Koja biljka dobro raste pored kuće gde nema mnogo sunca?,preporuka,preporuka,,,senka,sunce,,
Treba mi nešto za severnu stranu kuće,preporuka,"informacije,preporuka",,,senka,,,
Treba mi zimzelena biljka za ogradu,preporuka,"informacije,preporuka",,,"zimzelena,živa ograda",,,
Koja biljka brzo raste za ogradu?,preporuka,preporuka,,,živa ograda,brz rast,,
Treba mi ukrasna biljka za dvorište,preporuka,preporuka,,,ukrasna,"dvorište,ukrasna",,
Šta da posadim ispred kuće?,preporuka,"informacije,preporuka",,,dvorište,,,
Koje biljke lepo mirišu?,preporuka,informacije,,,mirisna,,,
Treba mi aromatična biljka,preporuka,preporuka,,,zacinska,,,
Treba mi biljka koja cveta celo leto,preporuka,"dostupnost,dostava,preporuka",,,dugo cvetanje,,,
Koja biljka ima mnogo cvetova?,preporuka,"dostupnost,preporuka",,,cvetanje,,,
Koje biljke su dobre za žardinjere?,preporuka,preporuka,,,saksija,,,
Treba mi biljka za ulaz u kuću,preporuka,"informacije,preporuka",,,ukrasna,,,
Šta preporučujete za vikendicu?,preporuka,preporuka,,,malo vode,,,
Koja biljka je najlakša za održavanje?,preporuka,preporuka,,,laka nega,,,
Šta preporučujete za malu baštu?,preporuka,preporuka,,,mala bašta,,,
Koje biljke su dobre za početnike?,preporuka,informacije,,,laka nega,,,
Treba mi nešto zeleno tokom cele godine,preporuka,"informacije,preporuka",,,zimzelena,,,
Koja biljka ostaje zelena zimi?,preporuka,"informacije,preporuka",,,zimzelena,,,
Šta preporučujete za osunčano dvorište?,preporuka,preporuka,,,sunce,dvorište,,
Koja biljka podnosi vetar?,preporuka,"informacije,preporuka",,,otporna,,,
Koja biljka ne zahteva puno pažnje?,preporuka,"informacije,preporuka",,,laka nega,,,
Šta preporučujete za uređivanje dvorišta?,preporuka,preporuka,,,dvorište,,,
Koja biljka lepo izgleda tokom cele godine?,preporuka,"dostupnost,preporuka",,,zimzelena,,,
Da li petunija cveta celo leto?,informacije,dostava,petunija,petunija,,,,
Koliko naraste begonija?,informacije,preporuka,begonija,begonija,,,,
Koliko brzo raste tuja?,informacije,preporuka,tuja smaragd,tuja smaragd,,brz rast,,
