upit,ocekivana_namera,llm_namera,ocekivana_biljka,llm_biljka,ocekivani_uslovi,llm_uslovi,ocekivana_lokacija,llm_lokacija
Imate li cenu za lavandu?,cena,dostupnost,lavanda,lavanda,,,,
Pošto je muškatla?,cena,cena,muskatla,,,,,
Koliko košta tuja?,cena,cena,tuja smaragd,,,,,
Koja je cena ruzmarina?,cena,cena,ruzmarin,,,,,
Koliko košta hortenzija?,cena,cena,hortenzija,,,,,
Da li je lavanda dostupna?,dostupnost,informacije,lavanda,lavanda,,,,
Imate li muškatle?,dostupnost,dostupnost,muskatla,,,,,
Da li imate muškatlu?,dostupnost,dostupnost,muskatla,,,,,
Da li su petunije dostupne?,dostupnost,informacije,petunija,petunija,,,,
Da li je begonija na stanju?,dostupnost,informacije,begonija,begonija,,,,
Imate li tuje?,dostupnost,dostupnost,tuja smaragd,,,,,
Da li je tuja dostupna?,dostupnost,informacije,tuja smaragd,tuja smaragd,,,,
Da li mogu da kupim hortenziju?,dostupnost,dostupnost,hortenzija,,,,,
Treba mi nešto za balkon na suncu,preporuka,preporuka,,,"balkon,sunce",sunce,,
Šta preporučujete za sunčanu terasu?,preporuka,preporuka,,,"sunce,terasa",sunce,,
Treba mi biljka za hlad,preporuka,preporuka,,,senka,"puno vode,senka",,
Nemam mnogo sunca,preporuka,dostava,,,senka,,,
Koje biljke podnose sušu?,preporuka,preporuka,,,malo vode,puno vode,,
Treba mi biljka za živu ogradu,preporuka,preporuka,,živa ograda,živa ograda,"brz rast,srednje vode,živa ograda",,
Koja zimzelena biljka je najbolja za ogradu?,preporuka,dostava,,zimzelena biljka,živa ograda,,,
Treba mi nešto za saksiju,preporuka,preporuka,,,saksija,puno vode,,
Želim mirisnu biljku za dvorište,preporuka,preporuka,,mirisna biljka,mirisna,dvorište,,
Koje biljke cvetaju celo leto?,preporuka,preporuka,,cvetanje,dugo cvetanje,"brz rast,dugo cvetanje",,
Treba mi ukrasna biljka za ulaz,preporuka,preporuka,,ukrasna,ukrasna,ukrasna,,
Gde se nalazite?,lokacija,lokacija,,null,,,,Grad/Mesto
Gde je rasadnik?,lokacija,lokacija,,rasadnik,,,,
Kako da dođem do vas?,lokacija,lokacija,,null,,,,
Da li dostavljate za Vranje?,dostava,dostava,,,vranje,,,Vranje
Možete li da dostavite u Vranje?,dostava,dostava,,null,vranje,,,Vranje
Da li vozite za Bujanovac?,dostava,dostava,,,bujanovac,,,Bujanovac
Da li dostavljate u Preševo?,dostava,dostava,,,preševo,,,Preševo
Da li šaljete biljke za Surdulicu?,dostava,dostava,,,surdulica,,,Surdulica
Treba mi biljka za sunce i malo vode,preporuka,preporuka,,biljka za sunce i malo vode,"malo vode,sunce","malo vode,sunce",,
Koja biljka voli sunce a ne traži često zalivanje?,preporuka,preporuka,,,"malo vode,sunce",sunce,,
Šta preporučujete za veoma sunčano mesto?,preporuka,preporuka,,,sunce,"puno vode,sunce,živa ograda",,
Koja biljka podnosi letnje vrućine?,preporuka,preporuka,,,"malo vode,sunce",sunce,,
"Nemam vremena za zalivanje, a imam puno sunca",preporuka,cena,,suncu,"malo vode,sunce",,,
Koja biljka uspeva u polusenci?,preporuka,preporuka,,polusenca,polusenka,"polusenka,senka",,
Šta preporučujete za terasu u hladu?,preporuka,preporuka,,hladu,"senka,terasa","dugo cvetanje,senka,srednje vode",,
Nemam direktno sunce na balkonu,preporuka,dostava,,,"balkon,senka",,,
Koja biljka dobro raste pored kuće gde nema mnogo sunca?,preporuka,preporuka,,,senka,"polusenka,senka",,
Treba mi nešto za severnu stranu kuće,preporuka,preporuka,,,senka,srednje vode,,Grad/Mesto
Koja biljka je dobra za živu ogradu?,preporuka,preporuka,,živa ograda,živa ograda,živa ograda,,
Treba mi zimzelena biljka za ogradu,preporuka,preporuka,,,"zimzelena,živa ograda",,,
Šta preporučujete za gustu živicu?,preporuka,preporuka,,živa ograda,živa ograda,"brz rast,srednje vode",,
Koja biljka brzo raste za ogradu?,preporuka,preporuka,,brzorastajuce biljke,živa ograda,brz rast,,
Treba mi ukrasna biljka za dvorište,preporuka,preporuka,,ukrasna biljka,ukrasna,"brz rast,srednje vode",,
Šta da posadim ispred kuće?,preporuka,preporuka,,,dvorište,"brz rast,dvorište,srednje vode",,
Koje biljke lepo mirišu?,preporuka,preporuka,,mirisna biljka,mirisna,mirisna,,
Treba mi aromatična biljka,preporuka,preporuka,,aromatična biljka,zacinska,zacinska,,
Koja biljka privlači pčele?,preporuka,preporuka,,medonosna,medonosna,medonosna,,
Šta preporučujete za kamenjar?,preporuka,preporuka,,kamenjar,kamenjar,"puno vode,srednje vode",,
Treba mi biljka koja cveta celo leto,preporuka,preporuka,,cvetanje,dugo cvetanje,"brz rast,dugo cvetanje",,
Šta preporučujete za viseće saksije?,preporuka,preporuka,,sasija,saksija,saksija,,
Koje biljke su dobre za žardinjere?,preporuka,preporuka,,,saksija,"puno vode,saksija,živa ograda",,
Šta preporučujete za vikendicu?,preporuka,preporuka,,,malo vode,,,
Treba mi biljka koja brzo raste,preporuka,preporuka,,brzorastuća biljka,brz rast,brz rast,,
Šta preporučujete za malu baštu?,preporuka,preporuka,,malu bašta,mala bašta,"brz rast,srednje vode",,
Koje biljke su dobre za početnike?,preporuka,preporuka,,,laka nega,"brz rast,laka nega,malo vode",,
Treba mi nešto zeleno tokom cele godine,preporuka,preporuka,,zeleno,zimzelena,"cvetanje,srednje vode,zimzelena",,
Koja biljka ostaje zelena zimi?,preporuka,preporuka,,živa ograda,zimzelena,zimzelena,,
Šta preporučujete za osunčano dvorište?,preporuka,preporuka,,,sunce,"puno vode,sunce,živa ograda",,Grad/Mesto
Koja biljka podnosi vetar?,preporuka,preporuka,,,otporna,"otporna,senka",,
Treba mi biljka za veliku saksiju,preporuka,preporuka,,,saksija,puno vode,,
Koja biljka ne zahteva puno pažnje?,preporuka,preporuka,,,laka nega,"laka nega,malo vode",,
Šta preporučujete za uređivanje dvorišta?,preporuka,preporuka,,,dvorište,"dugo cvetanje,srednje vode",,
Koja biljka lepo izgleda tokom cele godine?,preporuka,preporuka,,,zimzelena,,,
Koliko traje cvetanje muškatle?,informacije,cena,muskatla,muskatla,,,,
Koliko vode traži petunija?,informacije,dostava,petunija,petunija,,,,
Da li ruzmarin može da prezimi napolju?,informacije,preporuka,ruzmarin,,,sunce,,
Koje biljke cvetaju u maju?,preporuka,preporuka,,medonosna,maj,maj,,
Koje biljke cvetaju tokom leta?,preporuka,preporuka,,nezavedno,leto,leto,,
Šta preporučujete za dvorište?,preporuka,preporuka,,,dvorište,"puno vode,živa ograda",,
Koje biljke su najprodavanije?,opste,preporuka,,rosa,,puno vode,,
Koje biljke su najotpornije?,preporuka,preporuka,,otpora,otporna,otporna,,
Šta je najbolje za balkon?,preporuka,preporuka,,,balkon,,,
Koje biljke podnose sušu?,preporuka,preporuka,,,malo vode,puno vode,,
Koje biljke rastu brzo?,preporuka,preporuka,,brza rast,brz rast,"brz rast,srednje vode",,
Šta preporučujete za ogradu?,preporuka,preporuka,,,živa ograda,srednje vode,,
Koje biljke imaju mirisne cvetove?,preporuka,preporuka,,mirisna biljka,mirisna,"maj,mirisna",,
Koje biljke mogu u saksiju?,preporuka,preporuka,,,saksija,,,
Koje biljke uspevaju u hladu?,preporuka,preporuka,,,senka,"puno vode,senka",,
Koje biljke cvetaju najduže?,preporuka,preporuka,,rosa,dugo cvetanje,"dugo cvetanje,puno vode",,
Koje biljke su dobre za terasu?,preporuka,preporuka,,,terasa,,,
Šta da zasadim ispred kuće?,preporuka,dostava,,,dvorište,,,
Koje biljke su dobre za dekoraciju?,preporuka,preporuka,,,ukrasna,"brz rast,puno vode",,
Šta preporučujete za malo dvorište?,preporuka,preporuka,,,mala bašta,"dvorište,malo vode",,
Koliko para je muškatla?,cena,cena,muskatla,,,,,
Kolika je cena muškatle?,cena,cena,muskatla,,,,,
Pošto su muškatle?,cena,cena,muskatla,,,,,
Košta li muškatla puno?,cena,cena,muskatla,,,,,
Koliko para je tuja?,cena,cena,tuja smaragd,,,,,
Kolika je cena tuje?,cena,cena,tuja smaragd,,,,,
Pošto su tuje?,cena,cena,tuja smaragd,,,,,
Košta li tuja mnogo?,cena,cena,tuja smaragd,,,,,
Za koliko prodajete tuju?,cena,cena,tuja smaragd,,,,,
