upit,ocekivana_namera,llm_namera,ocekivana_biljka,llm_biljka,ocekivani_uslovi,llm_uslovi,ocekivana_lokacija,llm_lokacija
Imate li cenu za lavandu?,cena,dostupnost,lavanda,lavanda,,,,
Šta preporučujete za sunčanu terasu?,preporuka,preporuka,,,"sunce,terasa",,,
Nemam mnogo sunca,preporuka,opste,,,senka,,,
Želim biljku koja ne traži mnogo vode,preporuka,preporuka,,,malo vode,"malo vode,puno vode",,
Koje biljke podnose sušu?,preporuka,preporuka,,,malo vode,,,
Šta preporučujete za početnika?,preporuka,preporuka,,,laka nega,,,
Koja zimzelena biljka je najbolja za ogradu?,preporuka,opste,,,živa ograda,,,
Želim mirisnu biljku za dvorište,preporuka,preporuka,,,mirisna,dvorište,,
Koje biljke cvetaju celo leto?,preporuka,preporuka,,,dugo cvetanje,leto,,
Da li dostavljate za Vranje?,dostava,dostava,,,vranje,,,Vranje
Možete li da dostavite u Vranje?,dostava,dostava,,,vranje,,,Vranje
Da li vozite za Bujanovac?,dostava,dostava,,,bujanovac,,,Bujanovac
Da li dostavljate u Preševo?,dostava,dostava,,,preševo,,,Preševo
Da li šaljete biljke za Surdulicu?,dostava,dostava,,,surdulica,,,Surdulica
Koja biljka voli sunce a ne traži često zalivanje?,preporuka,"preporuka,informacije",,,"malo vode,sunce",sunce,,
Koja biljka podnosi letnje vrućine?,preporuka,preporuka,,,"malo vode,sunce",,,
"Nemam vremena za zalivanje, a imam puno sunca",preporuka,opste,,,"malo vode,sunce",,,
Šta preporučujete za terasu u hladu?,preporuka,preporuka,,,"senka,terasa",senka,,
Nemam direktno sunce na balkonu,preporuka,opste,,,"balkon,senka",,,
Treba mi nešto za severnu stranu kuće,preporuka,preporuka,,,senka,,,
Treba mi zimzelena biljka za ogradu,preporuka,preporuka,,,"zimzelena,živa ograda",zimzelena,,
Šta preporučujete za gustu živicu?,preporuka,preporuka,,,živa ograda,,,
Koja biljka brzo raste za ogradu?,preporuka,preporuka,,,živa ograda,brz rast,,
Treba mi ukrasna biljka za dvorište,preporuka,preporuka,,,ukrasna,"dvorište,ukrasna",,
Koje biljke lepo mirišu?,preporuka,preporuka,,,mirisna,,,
Treba mi biljka koja cveta celo leto,preporuka,preporuka,,,dugo cvetanje,"dugo cvetanje,leto",,
Treba mi biljka za ulaz u kuću,preporuka,preporuka,,,ukrasna,,,
Šta preporučujete za vikendicu?,preporuka,preporuka,,,malo vode,,,
Koja biljka je najlakša za održavanje?,preporuka,preporuka,,,laka nega,,,
Šta preporučujete za malu baštu?,preporuka,preporuka,,,mala bašta,,,
Treba mi nešto zeleno tokom cele godine,preporuka,preporuka,,,zimzelena,,,
Šta preporučujete za osunčano dvorište?,preporuka,preporuka,,,sunce,"dvorište,sunce",,
Šta preporučujete za uređivanje dvorišta?,preporuka,preporuka,,,dvorište,,,
Koja biljka lepo izgleda tokom cele godine?,preporuka,preporuka,,,zimzelena,,,
Koliko traje cvetanje muškatle?,informacije,opste,muskatla,muskatla,,,,
Da li petunija cveta celo leto?,informacije,opste,petunija,petunija,,,,
Koje biljke su najprodavanije?,opste,preporuka,,,,,,
Koje biljke su najotpornije?,preporuka,preporuka,,,otporna,,,
Koje biljke podnose sušu?,preporuka,preporuka,,,malo vode,,,
Koje biljke rastu brzo?,preporuka,preporuka,,,brz rast,,,
Šta preporučujete za ogradu?,preporuka,preporuka,,,živa ograda,,,
Koje biljke imaju mirisne cvetove?,preporuka,preporuka,,,mirisna,maj,,
Šta preporučujete početnicima?,preporuka,preporuka,,,laka nega,,,
Koje biljke cvetaju najduže?,preporuka,preporuka,,,dugo cvetanje,,,
Koje biljke su dobre za terasu?,preporuka,preporuka,,,terasa,,,
Šta da zasadim ispred kuće?,preporuka,opste,,,dvorište,,,
Koje biljke su dobre za dekoraciju?,preporuka,preporuka,,,ukrasna,,,
Šta preporučujete za malo dvorište?,preporuka,preporuka,,,mala bašta,"dvorište,mala bašta",,
Recite mi cenu lavande,cena,opste,lavanda,lavanda,,,,
Po kojoj ceni prodajete lavandu?,cena,opste,lavanda,lavanda,,,,
Možete li mi reći cenu lavande?,cena,opste,lavanda,lavanda,,,,
