upit,ocekivana_namera,llm_namera,ocekivana_biljka,llm_biljka,ocekivani_uslovi,llm_uslovi,ocekivana_lokacija,llm_lokacija
Pošto je lavanda?,cena,dostupnost,lavanda,lavanda,,,,
Pošto je muškatla?,cena,dostupnost,muskatla,muskatla,,,,
Pošto je petunija?,cena,preporuka,petunija,petunija,,sunce,,
Pošto je begonija?,cena,preporuka,begonija,begonija,,balkon,,
Pošto je tuja smaragd?,cena,preporuka,tuja smaragd,tuja smaragd,,malo vode,,
Pošto je hortenzija?,cena,dostupnost,hortenzija,hortenzija,,,,
Pošto su ruže?,cena,dostupnost,ruža,ruža,,,,
Koja biljka podnosi senku?,preporuka,preporuka,,hrizantema,senka,senka,,
Koje biljke podnose sušu?,preporuka,informacije,,hrizantema,malo vode,malo vode,,
Šta preporučujete za početnika?,preporuka,preporuka,,,laka nega,zacinska,,
Koja zimzelena biljka je najbolja za ogradu?,preporuka,preporuka,,hrizantema,živa ograda,"ukrasna,zimzelena",,
Želim mirisnu biljku za dvorište,preporuka,preporuka,,,mirisna,"dvorište,mirisna",,
Koje biljke cvetaju celo leto?,preporuka,informacije,,,dugo cvetanje,dugo cvetanje,,
Gde je rasadnik?,lokacija,informacije,,,,zacinska,,
Kako da dođem do vas?,lokacija,radno_vreme,,,,,,
Da li dostavljate za Vranje?,dostava,,,,vranje,,,Vranje
Možete li da dostavite u Vranje?,dostava,dostava,,,vranje,,,Vranje
Da li vozite za Bujanovac?,dostava,dostava,,,bujanovac,,,Bujanovac
Da li dostavljate u Preševo?,dostava,dostava,,,preševo,,,Preševo
Da li šaljete biljke za Surdulicu?,dostava,dostava,,,surdulica,,,Surdulica
Koja biljka voli sunce a ne traži često zalivanje?,preporuka,preporuka,,petunija,"malo vode,sunce","malo vode,sunce",,
Koja biljka podnosi letnje vrućine?,preporuka,preporuka,,hrizantema,"malo vode,sunce",leto,,
"Nemam vremena za zalivanje, a imam puno sunca",preporuka,dostupnost,,,"malo vode,sunce","senka,sunce",,
Koja biljka uspeva u polusenci?,preporuka,opste,,petunija,polusenka,polusenka,,
Šta preporučujete za terasu u hladu?,preporuka,preporuka,,,"senka,terasa",senka,,
Koja biljka dobro raste pored kuće gde nema mnogo sunca?,preporuka,preporuka,,hrizantema,senka,"laka nega,mirisna",,
Koja biljka je dobra za živu ogradu?,preporuka,preporuka,,žalfija,živa ograda,živa ograda,,
Treba mi zimzelena biljka za ogradu,preporuka,preporuka,,,"zimzelena,živa ograda","ukrasna,zimzelena",,
Šta preporučujete za gustu živicu?,preporuka,preporuka,,,živa ograda,malo vode,,
Koja biljka brzo raste za ogradu?,preporuka,preporuka,,origano,živa ograda,"brz rast,ukrasna",,
Treba mi ukrasna biljka za dvorište,preporuka,preporuka,,,ukrasna,"dvorište,ukrasna",,
Treba mi aromatična biljka,preporuka,preporuka,,,zacinska,ukrasna,,
Koja biljka privlači pčele?,preporuka,preporuka,,petunija,medonosna,medonosna,,
Šta preporučujete za kamenjar?,preporuka,preporuka,,katalpa,kamenjar,,,
Koja biljka ima mnogo cvetova?,preporuka,preporuka,,hrizantema,cvetanje,,,
Koje biljke su dobre za žardinjere?,preporuka,preporuka,,,saksija,živa ograda,,
Šta preporučujete za vikendicu?,preporuka,preporuka,,,malo vode,"leto,živa ograda",,
Koja biljka je najlakša za održavanje?,preporuka,preporuka,,katalpa,laka nega,,,
Koje biljke su dobre za početnike?,preporuka,informacije,,katalpa,laka nega,zacinska,,
Treba mi nešto zeleno tokom cele godine,preporuka,preporuka,,,zimzelena,"dugo cvetanje,zimzelena",,
Koja biljka ostaje zelena zimi?,preporuka,informacije,,hrizantema,zimzelena,,,
