upit,ocekivana_namera,llm_namera,ocekivana_biljka,llm_biljka,ocekivani_uslovi,llm_uslovi,ocekivana_lokacija,llm_lokacija
Ima li petunija?,dostupnost,opste,petunija,petunija,,,,
Šta preporučujete za sunčanu terasu?,preporuka,preporuka,,,"sunce,terasa",sunce,,
Koje biljke vole sunce?,preporuka,informacije,,,sunce,,,
Treba mi biljka za hlad,preporuka,preporuka,,,senka,"senka,zimzelena",,
Nemam mnogo sunca,preporuka,informacije,,,senka,,,
Koja biljka podnosi senku?,preporuka,"informacije,preporuka",,,senka,,,
Koje biljke podnose sušu?,preporuka,informacije,,,malo vode,,,
Šta preporučujete za početnika?,preporuka,preporuka,,,laka nega,,,
Koja zimzelena biljka je najbolja za ogradu?,preporuka,preporuka,,,živa ograda,zimzelena,,
Želim mirisnu biljku za dvorište,preporuka,preporuka,,,mirisna,"dvorište,mirisna",,
Koje biljke cvetaju celo leto?,preporuka,dostupnost,,,dugo cvetanje,,,
Gde je rasadnik?,lokacija,opste,,,,,,
U kom mestu se nalazite?,lokacija,opste,,,,,,
Da li dostavljate za Vranje?,dostava,dostava,,,vranje,,,Vranje
Možete li da dostavite u Vranje?,dostava,dostava,,,vranje,,,Vranje
Da li vozite za Bujanovac?,dostava,opste,,,bujanovac,,,Bujanovac
Da li dostavljate u Preševo?,dostava,dostava,,,preševo,,,Preševo
Da li šaljete biljke za Surdulicu?,dostava,opste,,,surdulica,,,Surdulica
Koja biljka voli sunce a ne traži često zalivanje?,preporuka,preporuka,,,"malo vode,sunce",sunce,,
Koja biljka podnosi letnje vrućine?,preporuka,preporuka,,,"malo vode,sunce",leto,,
"Nemam vremena za zalivanje, a imam puno sunca",preporuka,"cena,preporuka",,,"malo vode,sunce",,,
Treba mi biljka za hlad i saksiju,preporuka,preporuka,,,"saksija,senka","saksija,senka,zimzelena",,
Koja biljka uspeva u polusenci?,preporuka,"dostupnost,preporuka",,,polusenka,,,
Šta preporučujete za terasu u hladu?,preporuka,preporuka,,,"senka,terasa","senka,zimzelena",,
Nemam direktno sunce na balkonu,preporuka,opste,,,"balkon,senka",,,
Koja biljka dobro raste pored kuće gde nema mnogo sunca?,preporuka,preporuka,,,senka,"malo vode,sunce",,
Treba mi nešto za severnu stranu kuće,preporuka,preporuka,,,senka,"polusenka,senka",,
Treba mi zimzelena biljka za ogradu,preporuka,preporuka,,,"zimzelena,živa ograda",zimzelena,,
Šta preporučujete za gustu živicu?,preporuka,preporuka,,,živa ograda,"zimzelena,živa ograda",,
Koja biljka brzo raste za ogradu?,preporuka,preporuka,,,živa ograda,brz rast,,
Treba mi ukrasna biljka za dvorište,preporuka,preporuka,,,ukrasna,"dvorište,ukrasna",,
Šta da posadim ispred kuće?,preporuka,preporuka,,,dvorište,,,
Koje biljke lepo mirišu?,preporuka,informacije,,,mirisna,,,
Treba mi aromatična biljka,preporuka,preporuka,,,zacinska,,,
Treba mi biljka koja cveta celo leto,preporuka,preporuka,,,dugo cvetanje,"cvetanje,leto",,
Koja biljka ima mnogo cvetova?,preporuka,"dostupnost,preporuka",,,cvetanje,,,
Šta preporučujete za viseće saksije?,preporuka,preporuka,,,saksija,"malo vode,saksija",,
Koje biljke su dobre za žardinjere?,preporuka,preporuka,,,saksija,,,
Treba mi biljka za ulaz u kuću,preporuka,preporuka,,,ukrasna,"mala bašta,ukrasna",,
Šta preporučujete za vikendicu?,preporuka,preporuka,,,malo vode,,,
Koja biljka je najlakša za održavanje?,preporuka,preporuka,,,laka nega,,,
Koje biljke su dobre za početnike?,preporuka,opste,,,laka nega,,,
Treba mi nešto zeleno tokom cele godine,preporuka,preporuka,,,zimzelena,"dugo cvetanje,zimzelena",,
Koja biljka ostaje zelena zimi?,preporuka,"informacije,preporuka",,,zimzelena,,,
Šta preporučujete za osunčano dvorište?,preporuka,preporuka,,,sunce,dvorište,,
Koja biljka podnosi vetar?,preporuka,"informacije,preporuka",,,otporna,,,
Treba mi biljka za veliku saksiju,preporuka,preporuka,,,saksija,"mala bašta,saksija",,
Koja biljka ne zahteva puno pažnje?,preporuka,preporuka,,,laka nega,,,
Šta preporučujete za uređivanje dvorišta?,preporuka,preporuka,,,dvorište,,,
Koja biljka lepo izgleda tokom cele godine?,preporuka,preporuka,,,zimzelena,dugo cvetanje,,
Koliko traje cvetanje muškatle?,informacije,dostupnost,muskatla,muskatla,,,,
Da li begonija podnosi senku?,informacije,opste,begonija,begonija,,,,
Koliko naraste begonija?,informacije,preporuka,begonija,begonija,,,,
Koliko brzo raste tuja?,informacije,opste,tuja smaragd,tuja smaragd,,,,
Kolika je visina odrasle tuje?,informacije,opste,tuja smaragd,tuja smaragd,,,,
Koliko brzo raste leylandii?,informacije,opste,leylandii,leylandii,,,,
Koje biljke cvetaju u maju?,preporuka,informacije,,,maj,,,
Koje biljke cvetaju tokom leta?,preporuka,dostupnost,,,leto,,,
Koje biljke su najotpornije?,preporuka,opste,,,otporna,,,
Koje biljke podnose sušu?,preporuka,informacije,,,malo vode,,,
Koje biljke su zimzelene?,preporuka,informacije,,,zimzelena,,,
Šta preporučujete za ogradu?,preporuka,preporuka,,,živa ograda,,,
Koje biljke imaju mirisne cvetove?,preporuka,informacije,,,mirisna,,,
Koje biljke mogu u saksiju?,preporuka,informacije,,,saksija,,,
Koje biljke uspevaju u hladu?,preporuka,informacije,,,senka,,,
Koje biljke vole sunce?,preporuka,informacije,,,sunce,,,
Šta preporučujete početnicima?,preporuka,preporuka,,,laka nega,,,
Koje biljke cvetaju najduže?,preporuka,"dostupnost,cena",,,dugo cvetanje,,,
Šta da zasadim ispred kuće?,preporuka,preporuka,,,dvorište,ukrasna,,
Koje biljke su dobre za dekoraciju?,preporuka,preporuka,,,ukrasna,,,
Šta preporučujete za malo dvorište?,preporuka,preporuka,,,mala bašta,"mala bašta,malo vode",,
