naziv,cena,dostupnost_od,dostupnost_do,visina,sunce,voda,tip,nega,opis
lavanda,250,mart,oktobar,40-80 cm,sunce,malo,zacinska,"Zaliva se umereno, voli sunce","Dobra za sunčana mesta i ne traži mnogo vode"
muskatla,180,april,septembar,30-60 cm,sunce,srednje,cvece,"Redovno zalivanje","Odlična za terase i balkone"
petunija,120,april,septembar,20-40 cm,sunce,srednje,cvece,"Traži redovno zalivanje","Cveta celo leto"
begonija,150,april,septembar,20-40 cm,senka,srednje,cvece,"Ne voli jako sunce","Dobra za polusenku i hlad"
tuja smaragd,500,cele godine,cele godine,2-5 m,sunce/senka,srednje,zimzelena,"Redovno zalivanje prve godine","Dobra za živu ogradu"
surfinija,150,april,septembar,30-50 cm,sunce,srednje,cvece,"Redovno zalivanje i prihrana","Bogato cveta tokom cele sezone"
kadifica,100,april,oktobar,20-50 cm,sunce,malo,cvece,"Minimalna nega","Vrlo otporna letnja biljka"
verbena,140,april,oktobar,20-40 cm,sunce,srednje,cvece,"Uklanjati precvetale cvetove","Dug period cvetanja"
vinka,130,maj,oktobar,20-40 cm,sunce,malo,cvece,"Podnosi sušu","Odlična za vrela leta"
lobelija,120,april,septembar,15-25 cm,polusenka,srednje,cvece,"Redovno zalivanje","Idealna za viseće saksije"
gazanija,150,april,oktobar,20-30 cm,sunce,malo,cvece,"Podnosi sušu","Voli jako sunce"
salvija,140,april,oktobar,30-50 cm,sunce,malo,cvece,"Povremeno zalivanje","Atraktivni cvetovi tokom leta"
dalija,250,maj,oktobar,40-120 cm,sunce,srednje,cvece,"Redovno zalivanje","Veliki dekorativni cvetovi"
hrizantema,220,avgust,novembar,30-80 cm,sunce,srednje,cvece,"Redovno zalivanje","Jesenje cvetanje"
maćuhica,90,septembar,maj,15-25 cm,sunce/senka,srednje,cvece,"Uklanjati precvetale cvetove","Otporna na hladnoću"
ruzmarin,250,mart,novembar,50-150 cm,sunce,malo,zacinska,"Retko zalivanje","Mediteranska aromatična biljka"
nana,120,mart,oktobar,30-80 cm,polusenka,srednje,zacinska,"Redovno zalivanje","Brzo se širi"
žalfija,180,mart,oktobar,40-70 cm,sunce,malo,zacinska,"Minimalna nega","Lekovita i aromatična biljka"
timijan,150,mart,oktobar,15-30 cm,sunce,malo,zacinska,"Vrlo malo održavanja","Odličan začin i medonosna biljka"
origano,150,mart,oktobar,20-50 cm,sunce,malo,zacinska,"Retko zalivanje","Koristi se kao začin"
tuja brabant,450,cele godine,cele godine,3-6 m,sunce/senka,srednje,zimzelena,"Redovno zalivanje prve godine","Brz rast za živu ogradu"
kleka,400,cele godine,cele godine,1-4 m,sunce,malo,zimzelena,"Vrlo otporna","Dekorativna zimzelena biljka"
tisa,600,cele godine,cele godine,2-8 m,senka,srednje,zimzelena,"Sporo raste","Dugovečna zimzelena vrsta"
šimšir,350,cele godine,cele godine,0.5-2 m,sunce/senka,srednje,zimzelena,"Povremeno orezivanje","Pogodan za formiranje oblika"
leylandii,550,cele godine,cele godine,5-15 m,sunce,srednje,zimzelena,"Brz rast","Odlična zaštita od pogleda"
fotinija,450,mart,novembar,2-5 m,sunce,srednje,žbun,"Povremeno orezivanje","Crveni mladi listovi"
lovor višnja,500,mart,novembar,2-5 m,sunce/senka,srednje,žbun,"Redovno zalivanje prve godine","Gusta zimzelena ograda"
hibiskus,350,april,oktobar,2-4 m,sunce,srednje,žbun,"Povremeno orezivanje","Veliki dekorativni cvetovi"
ruža,250,mart,novembar,0.5-2 m,sunce,srednje,žbun,"Redovno orezivanje","Jedna od najpopularnijih ukrasnih biljaka"
hortenzija,450,april,oktobar,1-2 m,polusenka,puno,žbun,"Obilno zalivanje","Velike cvetne kugle"
japanska dunja,350,mart,novembar,1-3 m,sunce,srednje,žbun,"Minimalna nega","Dekorativni cvetovi u proleće"
javor kuglasti,2500,novembar,mart,3-6 m,sunce,srednje,drvo,"Povremeno orezivanje","Popularno dekorativno drvo"
breza,2000,novembar,mart,10-20 m,sunce,srednje,drvo,"Minimalna nega","Prepoznatljiva bela kora"
katalpa,2200,novembar,mart,5-15 m,sunce,srednje,drvo,"Redovno formiranje krošnje","Veliki listovi i hlad"
kuglasti bagrem,2800,novembar,mart,3-5 m,sunce,malo,drvo,"Minimalna nega","Kompaktna kuglasta krošnja"
crveni javor,3000,novembar,mart,5-10 m,sunce,srednje,drvo,"Povremeno zalivanje","Atraktivna crvena boja lista"
ukrasna trešnja,3500,novembar,mart,4-8 m,sunce,srednje,drvo,"Minimalna nega","Bogato cvetanje u proleće"
