upit,ocekivana_namera,llm_namera,ocekivana_biljka,llm_biljka,ocekivani_uslovi,llm_uslovi,ocekivana_lokacija,llm_lokacija
Ima li petunija?,dostupnost,opste,petunija,petunija,,,,
Treba mi nešto za balkon na suncu,preporuka,"dostupnost,preporuka",,,"balkon,sunce",,,
Šta preporučujete za sunčanu terasu?,preporuka,preporuka,,,"sunce,terasa",sunce,,
Koje biljke vole sunce?,preporuka,opste,,,sunce,,,
Treba mi biljka za hlad,preporuka,preporuka,,,senka,"senka,zimzelena",,
Nemam mnogo sunca,preporuka,dostupnost,,,senka,,,
Koja biljka podnosi senku?,preporuka,"informacije,preporuka",,,senka,,,
Koje biljke podnose sušu?,preporuka,informacije,,,malo vode,,,
Šta preporučujete za početnika?,preporuka,preporuka,,,laka nega,,,
Treba mi biljka za živu ogradu,preporuka,"informacije,preporuka",,,živa ograda,,,
Koja zimzelena biljka je najbolja za ogradu?,preporuka,preporuka,,,živa ograda,zimzelena,,
Treba mi nešto za saksiju,preporuka,"informacije,preporuka",,,saksija,,,
Želim mirisnu biljku za dvorište,preporuka,"informacije,preporuka",,,mirisna,,,
Koje biljke cvetaju celo leto?,preporuka,informacije,,,dugo cvetanje,,,
Gde je rasadnik?,lokacija,opste,,,,,,
Da li dostavljate za Vranje?,dostava,dostava,,,vranje,,,Vranje
Možete li da dostavite u Vranje?,dostava,dostava,,,vranje,,,Vranje
Da li vozite za Bujanovac?,dostava,kontakt,,,bujanovac,,,Bujanovac
Da li dostavljate u Preševo?,dostava,dostava,,,preševo,,,Preševo
Da li šaljete biljke za Surdulicu?,dostava,dostava,,,surdulica,,,Surdulica
Treba mi biljka za sunce i malo vode,preporuka,"informacije,preporuka",,,"malo vode,sunce",,,
Koja biljka voli sunce a ne traži često zalivanje?,preporuka,preporuka,,,"malo vode,sunce",sunce,,
Treba mi nešto za balkon na jakom suncu,preporuka,"preporuka,radno_vreme",,,"balkon,sunce",,,
Koja biljka podnosi letnje vrućine?,preporuka,preporuka,,,"malo vode,sunce",leto,,
"Nemam vremena za zalivanje, a imam puno sunca",preporuka,"dostava,preporuka",,,"malo vode,sunce",,,
Treba mi biljka za hlad i saksiju,preporuka,"informacije,preporuka",,,"saksija,senka",,,
Šta preporučujete za terasu u hladu?,preporuka,preporuka,,,"senka,terasa","senka,zimzelena",,
