upit,ocekivana_namera,llm_namera,ocekivana_biljka,llm_biljka,ocekivani_uslovi,llm_uslovi,ocekivana_lokacija,llm_lokacija
Ima li petunija?,dostupnost,informacije,petunija,petunija,,,,
Da li mogu da kupim hortenziju?,dostupnost,cena,hortenzija,hortenzija,,,,
Treba mi nešto za balkon na suncu,preporuka,"dostupnost,preporuka",,,"balkon,sunce",,,
Šta preporučujete za sunčanu terasu?,preporuka,preporuka,,,"sunce,terasa",sunce,,
Koje biljke vole sunce?,preporuka,opste,,,sunce,,,
Treba mi biljka za hlad,preporuka,preporuka,,,senka,"senka,zimzelena",,
Nemam mnogo sunca,preporuka,cena,,,senka,,,
Želim biljku koja ne traži mnogo vode,preporuka,"dostava,preporuka",,,malo vode,,,
Koje biljke podnose sušu?,preporuka,opste,,,malo vode,,,
Šta preporučujete za početnika?,preporuka,preporuka,,,laka nega,,,
Koja zimzelena biljka je najbolja za ogradu?,preporuka,opste,,,živa ograda,,,
Želim mirisnu biljku za dvorište,preporuka,preporuka,,,mirisna,"dvorište,mirisna",,
Koje biljke cvetaju celo leto?,preporuka,opste,,,dugo cvetanje,,,
Gde je rasadnik?,lokacija,opste,,,,,,
U kom mestu se nalazite?,lokacija,opste,,,,,,
Da li dostavljate za Vranje?,dostava,dostava,,,vranje,,,Vranje
Možete li da dostavite u Vranje?,dostava,dostava,,,vranje,,,Vranje
Da li vozite za Bujanovac?,dostava,opste,,,bujanovac,,,Bujanovac
Da li dostavljate u Preševo?,dostava,dostava,,,preševo,,,Preševo
Da li šaljete biljke za Surdulicu?,dostava,opste,,,surdulica,,,Surdulica
Koja biljka voli sunce a ne traži često zalivanje?,preporuka,preporuka,,,"malo vode,sunce",sunce,,
Treba mi nešto za balkon na jakom suncu,preporuka,"dostupnost,preporuka",,,"balkon,sunce",,,
Koja biljka podnosi letnje vrućine?,preporuka,preporuka,,,"malo vode,sunce",leto,,
"Nemam vremena za zalivanje, a imam puno sunca",preporuka,dostava,,,"malo vode,sunce",,,
Treba mi biljka za hlad i saksiju,preporuka,preporuka,,,"saksija,senka","saksija,senka,sunce",,
Šta preporučujete za terasu u hladu?,preporuka,preporuka,,,"senka,terasa","senka,zimzelena",,
Nemam direktno sunce na balkonu,preporuka,opste,,,"balkon,senka",,,
Koja biljka dobro raste pored kuće gde nema mnogo sunca?,preporuka,preporuka,,,senka,"sunce,zimzelena",,
Treba mi nešto za severnu stranu kuće,preporuka,"lokacija,preporuka",,,senka,,,
Treba mi zimzelena biljka za ogradu,preporuka,preporuka,,,"zimzelena,živa ograda",zimzelena,,
Koja biljka brzo raste za ogradu?,preporuka,preporuka,,,živa ograda,brz rast,,
